virtualTreeList,siteNodeId,labelCollections,pid,bodyRelationId
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f8a9980c963216b59d53,,637dde4778d2a708fc7ba545@64b5ee70980c963216b5978b,64b5edf8980c963216b59769
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f8b5980c963216b59d61,,637dde4778d2a708fc7ba545@64b5f8a9980c963216b59d53,64b5edf8980c963216b5976a
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f8c0980c963216b59d68,,637dde4778d2a708fc7ba545@64b5f8b5980c963216b59d61,64b5edf8980c963216b5976b
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f8cc980c963216b59d6d,,637dde4778d2a708fc7ba545@64b5f8c0980c963216b59d68,64b5edf8980c963216b5976c
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f8e1980c963216b59d7e,,637dde4778d2a708fc7ba545@64b5f8cc980c963216b59d6d,64b5edf8980c963216b5976d
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f8ef980c963216b59d85,,637dde4778d2a708fc7ba545@64b5f8e1980c963216b59d7e,64b5edf8980c963216b5976e
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f951980c963216b59dcc,,637dde4778d2a708fc7ba545@64b5ee70980c963216b5978a,64b5edf8980c963216b59769
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f961980c963216b59dd3,,637dde4778d2a708fc7ba545@64b5f951980c963216b59dcc,64b5edf8980c963216b5976a
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f96a980c963216b59dd8,,637dde4778d2a708fc7ba545@64b5f961980c963216b59dd3,64b5edf8980c963216b5976b
"[{'id': '64b5edf8980c963216b59767', 'nodeName': '生物分类虚拟树', 'virtualTreeType': '自建', 'type': 'BODY', 'snType': 0, 'siteId': '637dde4778d2a708fc7ba545', 'lastTreeId': None, 'remark': None, 'createBy': '6371facc0c4e657602bd8955', 'updateBy': '6371facc0c4e657602bd8955', 'createTime': '2023-07-18', 'updateTime': '2023-07-18', 'children': None}]",637dde4778d2a708fc7ba545@64b5f972980c963216b59ddd,,637dde4778d2a708fc7ba545@64b5f96a980c963216b59dd8,64b5edf8980c963216b5976c
