date,childInsNum,treeId,tableStructureId,nodePIds,remark,tempPid,id,nodePId,isWBSRootNode,lastSiteNodeId,state,relationId,p6Object,labelCollections,connectNode,siteNodeId,attribute,updateTime,isConnectedLabel,parentInsNum,children,status,treeName,virtualTreeType,nodeName,formData,associatedNumber,instanceType,bodySiteNodeId,siteNodeIds,quote,order,isCreatedSite,type,isRoot,nodeId,snType,isConnected,snRelation,instanceChildren,childIns,siteId,isConnectedNode,updateBy
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211b514b6c675d84f4c485~S,,False,,ON,65211b514b6c675d84f4c485,,,,65080b84d95e4d0e60139a01@65211b514b6c675d84f4c485~S,INSTANCE,2023-10-07 16:48:17,True,,,,,,复本项信息数据表结构GDDB202310078740,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfa4b6c675d84f4c4a8~S,,False,,ON,65211dfa4b6c675d84f4c4a8,,,,65080b84d95e4d0e60139a01@65211dfa4b6c675d84f4c4a8~S,INSTANCE,2023-10-07 16:59:38,True,,,,,,本体相同表结构GDDB202310075127,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4a9~S,,False,,ON,65211dfc4b6c675d84f4c4a9,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4a9~S,INSTANCE,2023-10-07 16:59:40,True,,,,,,本体相同表结构GDDB202310071348,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4aa~S,,False,,ON,65211dfc4b6c675d84f4c4aa,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4aa~S,INSTANCE,2023-10-07 16:59:40,True,,,,,,本体相同表结构GDDB202310077934,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4ab~S,,False,,ON,65211dfc4b6c675d84f4c4ab,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4ab~S,INSTANCE,2023-10-07 16:59:40,True,,,,,,复本项信息数据表结构GDDB202310079287,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4ac~S,,False,,ON,65211dfc4b6c675d84f4c4ac,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4ac~S,INSTANCE,2023-10-07 16:59:40,True,,,,,,本体相同表结构GDDB202310076817,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4ad~S,,False,,ON,65211dfc4b6c675d84f4c4ad,,,,65080b84d95e4d0e60139a01@65211dfc4b6c675d84f4c4ad~S,INSTANCE,2023-10-07 16:59:40,True,,,,,,本体相同表结构GDDB202310076605,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4ae~S,,False,,ON,65211dfe4b6c675d84f4c4ae,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4ae~S,INSTANCE,2023-10-07 16:59:42,True,,,,,,复本项信息数据表结构GDDB202310075830,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4af~S,,False,,ON,65211dfe4b6c675d84f4c4af,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4af~S,INSTANCE,2023-10-07 16:59:42,True,,,,,,复本项信息数据表结构GDDB202310077663,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4b0~S,,False,,ON,65211dfe4b6c675d84f4c4b0,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4b0~S,INSTANCE,2023-10-07 16:59:42,True,,,,,,复本项信息数据表结构GDDB202310071323,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4b1~S,,False,,ON,65211dfe4b6c675d84f4c4b1,,,,65080b84d95e4d0e60139a01@65211dfe4b6c675d84f4c4b1~S,INSTANCE,2023-10-07 16:59:42,True,,,,,,复本项信息数据表结构GDDB202310076896,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
,,,6508f59ec87582708c032768,,,,65080b84d95e4d0e60139a01@65211e234b6c675d84f4c4e7~S,,False,,ON,65211e234b6c675d84f4c4e7,,,,65080b84d95e4d0e60139a01@65211e234b6c675d84f4c4e7~S,INSTANCE,2023-10-07 17:00:19,True,,,,,,本体相同表结构GDDB202310077266,,0,8,65080b84d95e4d0e60139a01@65081b2dcee93a003ee097ea,,True,0,False,,False,,3,False,,,,65080b84d95e4d0e60139a01,False,6503f9a5b6b2a5325c9a71a4
